Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Let’s Groove,George Morel,1990,6:25,4,0.54,0.972,4,-5.224,0,0.11,0.00997,0.00338,0.92,0.335,131.837,16
Freaks Come Out at Night,Whodini,1990,4:42,4,0.866,0.861,1,-3.34,1,0.172,0.037,0.0000229,0.0264,0.714,100.749,43
In a Big Country,Big Country,1990,4:44,4,0.641,0.775,9,-6.419,1,0.0498,0.00184,0.177,0.0948,0.854,126.174,53
Wanna Be Your Lover,Prince,1990,5:47,4,0.812,0.506,1,-8.825,0,0.0453,0.0399,0.0847,0.0671,0.727,114.832,56
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince,1990,2:57,4,0.824,0.684,10,-7.354,0,0.0935,0.00278,0.00000145,0.0481,0.87,101.152,57
Sunglasses at Night,Corey Hart,1990,5:20,4,0.665,0.624,10,-11.106,0,0.049,0.505,0.0104,0.518,0.717,127.083,57
Funky Cold Medina,Tone Loc,1990,4:08,4,0.988,0.633,5,-15.012,0,0.0888,0.0755,0.00000188,0.0668,0.929,117.493,58
Baby Come Back,Player,1990,3:34,4,0.645,0.604,5,-9.904,0,0.118,0.0713,0,0.129,0.545,156.436,60
Push It,Salt-N-Pepa,1990,4:28,4,0.918,0.731,7,-6.637,1,0.0611,0.00354,0.0043,0.0488,0.967,127.239,60
I Touch Myself,Divinyls,1990,3:47,4,0.66,0.711,5,-10.211,1,0.0334,0.181,0.00000747,0.0647,0.726,109.328,62
Unbelievable,EMF,1990,3:29,4,0.636,0.848,1,-6.854,1,0.0362,0.000339,0.0402,0.141,0.934,104.073,64
Groove Is in the Heart,Deee-Lite,1990,3:51,4,0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,69
Ice Ice Baby,Vanilla Ice,1990,4:14,4,0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,70
Hold On,Wilson Phillips,1990,3:47,4,0.777,0.414,6,-7.44,0,0.0946,0.00421,0.0000273,0.0724,0.287,100.002,71
The Power,Snap!,1990,3:54,4,0.768,0.828,5,-5.109,1,0.0313,0.0964,0.0000285,0.097,0.961,118.777,74
Wish,Michael Penn,1990,3:14,4,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,76
Boys of Summer,Don Henley,1990,4:48,4,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,77
Right Here Waiting,Richard Marx,1990,4:24,4,0.395,0.252,0,-13.589,1,0.0301,0.8,0,0.101,0.126,177.679,76
I’m Too Sexy,Right Said Fred,1991,2:51,4,0.653,0.821,6,-9.601,0,0.0385,0.019,0.131,0.362,0.921,122.057,33
Rico Suave,Gerardo,1991,4:51,4,0.798,0.817,11,-11.337,0,0.121,0.00596,0.0000629,0.0548,0.446,105.931,35
Bizarre Love Triangle,New Order,1991,4:23,4,0.613,0.885,10,-7.463,1,0.052,0.0804,0.746,0.0997,0.919,118.506,65
Good Vibrations,Marky Mark and the Funky Bunch,1991,3:39,4,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,71
Baby Baby,Amy Grant,1991,1:37,4,0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,85
Dazzey Duks,Duice,1992,4:04,4,0.881,0.521,1,-11.002,1,0.224,0.000883,0.00000496,0.0585,0.864,132.128,35
What’s Up?,4 Non Blondes,1992,3:51,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0,0.0937,0.654,145.966,47
Baby Got Back,Sir Mix-A-Lot,1992,4:22,4,0.926,0.669,1,-11.271,1,0.301,0.0051,0,0.0887,0.642,128.462,69
No Rain,Blind Melon,1992,3:37,4,0.389,0.476,9,-9.342,1,0.0316,0.619,0.0000509,0.255,0.566,148.117,74
Jump Around,House of Pain,1992,3:38,4,0.811,0.823,4,-5.921,0,0.0423,0.0553,0.00000452,0.158,0.827,106.929,76
Nuthin’ but a ‘G’ Thang,Dr. Dre ft. Snoop Dogg,1992,3:57,4,0.669,0.821,11,-4.37,0,0.29,0.00182,0,0.147,0.684,94.895,76
3 Little Pigs,Green Jelly,1993,3:12,4,0.824,0.815,1,-5.269,0,0.0992,0.397,0,0.115,0.243,140.027,41
Cryin',Aerosmith,1993,3:21,4,0.543,0.808,10,-5.484,1,0.0407,0.0000719,0.00336,0.114,0.472,95.19,65
I Like to Move It,Reel 2 Real featuring The Mad Stuntman,1993,3:41,4,0.842,0.791,7,-5.277,0,0.0437,0.428,0,0.0989,0.95,126.962,70
Show Me Love,Robin S.,1993,4:12,4,0.811,0.833,5,-4.259,1,0.153,0.014,0.0000206,0.0769,0.567,120.258,71
I'm Gonna Be (500 Miles),The Proclaimers,1993,3:39,4,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,75
What Is Love,Haddaway,1993,4:30,4,0.683,0.772,7,-7.907,0,0.031,0.0222,0.0156,0.203,0.738,123.869,80
The Sign,Ace of Base,1993,5:40,4,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,82
Linger,The Cranberries,1993,4:34,4,0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,83
Creep,Radiohead,1993,3:58,4,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,86
The Rhythm of the Night,Corona,1994,4:24,4,0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,57
Here Comes the Hotstepper,Ini Kamoze,1994,4:10,4,0.889,0.453,4,-8.598,0,0.221,0.0141,0.000205,0.202,0.437,100.358,68
Love Is All Around,Wet Wet Wet,1994,4:06,4,0.523,0.689,10,-6.58,1,0.027,0.228,0,0.109,0.547,84.09,68
C'est La Vie,Chuck Berry,1994,2:40,4,0.889,0.805,9,-3.642,1,0.0808,0.0649,0,0.0684,0.759,142.119,69
